date,value
2017-02-15,2808
2017-02-16,1390
2017-02-17,3071
2017-02-18,1025
2017-02-19,1924
2017-02-20,2294
2017-02-21,2142
2017-02-22,1693
2017-02-23,1904
2017-02-24,1768
2017-02-25,1727
2017-02-26,2455
2017-02-27,2219
2017-02-28,1705
2017-03-01,2514
2017-03-02,2233
2017-03-03,2501
2017-03-04,2426
2017-03-05,1715
2017-03-06,1869
2017-03-07,2544
2017-03-08,2498
2017-03-09,2205
2017-03-10,2299
2017-03-11,2904
2017-03-12,1996
2017-03-13,2593
2017-03-14,2247
2017-03-15,2269
2017-03-16,2958
2017-03-17,2853
2017-03-18,2879
2017-03-19,3158
2017-03-20,2549
2017-03-21,2914
2017-03-22,2453
2017-03-23,2806
2017-03-24,2615
2017-03-25,2765
2017-03-26,3051
2017-03-27,2382
2017-03-28,3875
2017-03-29,2363
2017-03-30,2297
2017-03-31,3522
2017-04-01,3377
2017-04-02,3332
2017-04-03,3372
2017-04-04,3090
2017-04-05,2686
2017-04-06,3210
2017-04-07,2871
2017-04-08,3735
2017-04-09,3211
2017-04-10,2908
2017-04-11,3196
2017-04-12,3599
2017-04-13,3145
2017-04-14,3051
2017-04-15,3617
2017-04-16,3651
2017-04-17,3307
2017-04-18,3356
2017-04-19,3738
2017-04-20,2928
2017-04-21,2977
2017-04-22,3349
2017-04-23,3628
2017-04-24,3916
2017-04-25,4522
2017-04-26,4236
2017-04-27,3750
2017-04-28,3841
2017-04-29,3369
2017-04-30,3879
2017-05-01,3761
2017-05-02,4082
2017-05-03,3521
2017-05-04,4207
2017-05-05,4726
2017-05-06,3915
2017-05-07,4179
2017-05-08,4330
2017-05-09,3790
2017-05-10,4107
2017-05-11,4004
2017-05-12,4048
2017-05-13,3613
2017-05-14,4010
2017-05-15,4244
2017-05-16,4716
2017-05-17,4464
2017-05-18,5053
2017-05-19,3584
2017-05-20,4394
2017-05-21,4037
2017-05-22,5028
2017-05-23,3514
2017-05-24,3482
2017-05-25,3585
2017-05-26,2805
2017-05-27,3584
2017-05-28,3446
2017-05-29,3879
2017-05-30,3951
2017-05-31,4694
2017-06-01,4205
2017-06-02,3415
2017-06-03,3226
2017-06-04,3893
2017-06-05,2957
2017-06-06,4502
2017-06-07,4145
2017-06-08,3288
2017-06-09,2633
2017-06-10,4133
2017-06-11,3364
2017-06-12,4005
2017-06-13,2553
2017-06-14,3015
2017-06-15,3280
2017-06-16,3264
2017-06-17,2978
2017-06-18,3477
2017-06-19,2594
2017-06-20,3018
2017-06-21,3111
2017-06-22,3270
2017-06-23,3330
2017-06-24,2374
2017-06-25,2131
2017-06-26,3499
2017-06-27,2988
2017-06-28,2410
2017-06-29,3523
2017-06-30,2768
2017-07-01,3263
2017-07-02,2671
2017-07-03,3632
2017-07-04,3445
2017-07-05,2408
2017-07-06,2985
2017-07-07,2789
2017-07-08,3119
2017-07-09,1921
2017-07-10,2716
2017-07-11,2873
2017-07-12,1436
2017-07-13,1696
2017-07-14,1241
2017-07-15,2101
2017-07-16,2570
2017-07-17,2940
2017-07-18,2204
2017-07-19,2960
2017-07-20,1437
2017-07-21,1257
2017-07-22,2064
2017-07-23,2268
2017-07-24,2046
2017-07-25,1016
2017-07-26,1994
2017-07-27,1376
2017-07-28,2355
2017-07-29,2196
2017-07-30,1537
2017-07-31,1746
2017-08-01,1471
2017-08-02,1968
2017-08-03,2477
2017-08-04,1509
2017-08-05,2257
2017-08-06,1745
2017-08-07,1619
2017-08-08,1970
2017-08-09,1515
2017-08-10,1766
2017-08-11,1456
2017-08-12,3051
2017-08-13,2100
2017-08-14,1749
2017-08-15,2223
2017-08-16,2079
2017-08-17,2044
2017-08-18,2483
2017-08-19,2577
2017-08-20,1957
2017-08-21,1959
2017-08-22,2135
2017-08-23,1148
2017-08-24,1569
2017-08-25,3039
2017-08-26,3208
2017-08-27,2292
2017-08-28,2736
2017-08-29,2636
2017-08-30,4053
2017-08-31,3107
2017-09-01,2518
2017-09-02,2140
2017-09-03,1850
2017-09-04,2791
2017-09-05,2348
2017-09-06,2052
2017-09-07,2477
2017-09-08,2298
2017-09-09,3720
2017-09-10,3355
2017-09-11,2949
2017-09-12,3731
2017-09-13,3068
2017-09-14,2637
2017-09-15,3868
2017-09-16,3414
2017-09-17,2663
2017-09-18,3124
2017-09-19,2819
2017-09-20,2602
2017-09-21,3793
2017-09-22,4321
2017-09-23,2702
2017-09-24,3718
2017-09-25,3145
2017-09-26,3260
2017-09-27,3241
2017-09-28,3137
2017-09-29,3624
2017-09-30,3215
2017-10-01,3795
2017-10-02,3663
2017-10-03,3596
2017-10-04,3288
2017-10-05,3478
2017-10-06,4168
2017-10-07,4064
2017-10-08,3346
2017-10-09,3905
2017-10-10,4250
2017-10-11,3058
2017-10-12,4181
2017-10-13,3593
2017-10-14,4224
2017-10-15,3569
2017-10-16,3060
2017-10-17,3158
2017-10-18,4004
2017-10-19,4117
2017-10-20,3540
2017-10-21,4315
2017-10-22,3168
2017-10-23,3966
2017-10-24,3393
2017-10-25,3671
2017-10-26,4017
2017-10-27,3558
2017-10-28,3790
2017-10-29,4478
2017-10-30,3677
2017-10-31,4372
2017-11-01,3378
2017-11-02,4194
2017-11-03,4635
2017-11-04,2662
2017-11-05,3482
2017-11-06,4150
2017-11-07,3740
2017-11-08,4006
2017-11-09,3496
2017-11-10,3817
2017-11-11,3671
2017-11-12,4307
2017-11-13,3823
2017-11-14,3837
2017-11-15,3433
2017-11-16,3365
2017-11-17,3362
2017-11-18,3744
2017-11-19,3304
2017-11-20,3626
2017-11-21,4485
2017-11-22,3848
2017-11-23,3214
2017-11-24,3942
2017-11-25,3101
2017-11-26,2249
2017-11-27,2727
2017-11-28,2258
2017-11-29,2980
2017-11-30,3127
2017-12-01,3918
2017-12-02,3205
2017-12-03,2893
2017-12-04,3379
2017-12-05,1821
2017-12-06,3006
2017-12-07,3235
2017-12-08,2073
2017-12-09,3347
2017-12-10,2907
2017-12-11,2493
2017-12-12,2981
2017-12-13,3764
2017-12-14,2684
2017-12-15,2682
2017-12-16,2294
2017-12-17,2066
2017-12-18,2873
2017-12-19,1998
2017-12-20,2431
2017-12-21,2126
2017-12-22,2575
2017-12-23,2474
2017-12-24,2799
2017-12-25,1999
2017-12-26,2094
2017-12-27,1716
2017-12-28,1961
2017-12-29,2350
2017-12-30,2519
2017-12-31,1661
2018-01-01,2539
2018-01-02,2765
2018-01-03,2279
2018-01-04,2997
2018-01-05,1660
2018-01-06,1413
2018-01-07,1137
2018-01-08,2766
2018-01-09,2339
2018-01-10,1978
2018-01-11,2142
2018-01-12,1438
2018-01-13,3222
2018-01-14,2065
2018-01-15,2057
2018-01-16,2369
2018-01-17,2252
2018-01-18,2130
2018-01-19,1630
2018-01-20,2271
2018-01-21,2987
2018-01-22,2731
2018-01-23,2868
2018-01-24,1831
2018-01-25,1608
2018-01-26,2058
2018-01-27,2168
2018-01-28,2707
2018-01-29,1335
2018-01-30,2969
2018-01-31,2149
2018-02-01,2040
2018-02-02,1773
2018-02-03,1479
2018-02-04,2746
2018-02-05,2400
2018-02-06,1749
2018-02-07,1777
2018-02-08,2289
2018-02-09,3324
2018-02-10,2393
2018-02-11,1805
2018-02-12,2468
2018-02-13,2490
2018-02-14,1314
2018-02-15,2672
2018-02-16,2620
2018-02-17,3121
2018-02-18,3735
2018-02-19,3411
2018-02-20,2752
2018-02-21,2371
2018-02-22,4249
2018-02-23,3031
2018-02-24,3046
2018-02-25,3066
2018-02-26,3215
2018-02-27,3082
2018-02-28,2905
2018-03-01,2956
2018-03-02,3250
2018-03-03,3031
2018-03-04,2983
2018-03-05,3429
2018-03-06,3283
2018-03-07,4197
2018-03-08,2154
2018-03-09,4058
2018-03-10,4168
2018-03-11,2540
2018-03-12,3436
2018-03-13,3452
2018-03-14,2963
2018-03-15,3306
2018-03-16,3167
2018-03-17,4624
2018-03-18,4241
2018-03-19,4432
2018-03-20,4180
2018-03-21,3276
2018-03-22,3598
2018-03-23,4124
2018-03-24,3286
2018-03-25,4270
2018-03-26,3808
2018-03-27,3754
2018-03-28,4309
2018-03-29,4187
2018-03-30,3794
2018-03-31,4562
2018-04-01,3448
2018-04-02,4301
2018-04-03,4293
2018-04-04,3844
2018-04-05,4163
2018-04-06,3373
2018-04-07,4458
2018-04-08,3900
2018-04-09,3726
2018-04-10,4505
2018-04-11,3620
2018-04-12,3258
2018-04-13,3173
2018-04-14,4242
2018-04-15,3285
2018-04-16,4787
2018-04-17,2853
2018-04-18,4724
2018-04-19,3962
2018-04-20,3788
2018-04-21,3542
2018-04-22,3991
2018-04-23,3749
2018-04-24,4294
2018-04-25,3773
2018-04-26,3764
2018-04-27,3479
2018-04-28,3603
2018-04-29,3755
2018-04-30,2715
2018-05-01,2864
2018-05-02,3877
2018-05-03,3558
2018-05-04,3346
2018-05-05,3412
2018-05-06,3542
2018-05-07,3062
2018-05-08,2906
2018-05-09,3356
2018-05-10,2732
2018-05-11,3388
2018-05-12,2295
2018-05-13,3622
2018-05-14,3306
2018-05-15,3159
2018-05-16,3484
2018-05-17,3787
2018-05-18,3423
2018-05-19,1958
2018-05-20,2200
2018-05-21,2490
2018-05-22,2778
2018-05-23,2987
2018-05-24,2328
2018-05-25,2748
2018-05-26,2241
2018-05-27,2278
2018-05-28,1846
2018-05-29,2054
2018-05-30,1806
2018-05-31,1962
2018-06-01,2945
2018-06-02,1913
2018-06-03,3674
2018-06-04,2575
2018-06-05,2393
2018-06-06,1844
2018-06-07,2598
2018-06-08,1935
2018-06-09,2260
2018-06-10,3457
2018-06-11,2108
2018-06-12,2710
2018-06-13,1765
2018-06-14,2082
2018-06-15,2969
2018-06-16,1755
2018-06-17,2962
2018-06-18,2397
2018-06-19,1752
2018-06-20,2340
2018-06-21,2502
2018-06-22,2321
2018-06-23,1220
2018-06-24,1638
2018-06-25,1876
2018-06-26,1962
2018-06-27,2311
2018-06-28,2092
2018-06-29,1340
2018-06-30,2203
2018-07-01,2325
2018-07-02,2308
2018-07-03,2578
2018-07-04,2466
2018-07-05,2291
2018-07-06,2041
2018-07-07,1261
2018-07-08,2323
2018-07-09,2230
2018-07-10,2281
2018-07-11,1527
2018-07-12,1647
2018-07-13,2737
2018-07-14,2215
2018-07-15,2601
2018-07-16,2300
2018-07-17,2328
2018-07-18,2811
2018-07-19,2113
2018-07-20,2450
2018-07-21,2202
2018-07-22,2248
2018-07-23,2343
2018-07-24,2642
2018-07-25,2326
2018-07-26,3228
2018-07-27,2189
2018-07-28,2578
2018-07-29,2488
2018-07-30,3469
2018-07-31,2881
2018-08-01,3336
2018-08-02,2115
2018-08-03,3030
2018-08-04,3379
2018-08-05,3014
2018-08-06,3544
2018-08-07,2791
2018-08-08,3792
2018-08-09,4275
2018-08-10,2982
2018-08-11,2979
2018-08-12,3966
2018-08-13,4066
2018-08-14,3051
2018-08-15,3139
2018-08-16,3244
2018-08-17,2747
2018-08-18,2995
2018-08-19,2986
2018-08-20,3137
2018-08-21,3536
2018-08-22,3702
2018-08-23,4391
2018-08-24,3146
2018-08-25,4166
2018-08-26,3595
2018-08-27,3704
2018-08-28,4092
2018-08-29,3218
2018-08-30,3994
2018-08-31,3908
2018-09-01,4092
2018-09-02,4010
2018-09-03,5112
2018-09-04,3583
2018-09-05,3652
2018-09-06,3620
2018-09-07,3667
2018-09-08,3638
2018-09-09,4562
2018-09-10,4686
2018-09-11,3698
2018-09-12,3574
2018-09-13,4230
2018-09-14,3721
2018-09-15,4316
2018-09-16,4101
2018-09-17,3240
2018-09-18,4769
2018-09-19,4889
2018-09-20,3679
2018-09-21,3785
2018-09-22,4113
2018-09-23,4127
2018-09-24,4278
2018-09-25,4941
2018-09-26,3833
2018-09-27,3507
2018-09-28,3199
2018-09-29,3505
2018-09-30,3835
2018-10-01,4728
2018-10-02,3550
2018-10-03,3897
2018-10-04,3753
2018-10-05,4330
2018-10-06,4973
2018-10-07,3416
2018-10-08,3409
2018-10-09,4146
2018-10-10,3934
2018-10-11,4485
2018-10-12,3822
2018-10-13,3317
2018-10-14,3759
2018-10-15,3983
2018-10-16,3804
2018-10-17,3612
2018-10-18,3856
2018-10-19,3871
2018-10-20,3940
2018-10-21,3536
2018-10-22,3090
2018-10-23,3209
2018-10-24,3701
2018-10-25,2651
2018-10-26,3206
2018-10-27,2786
2018-10-28,2959
2018-10-29,3546
2018-10-30,2964
2018-10-31,2854
2018-11-01,2113
2018-11-02,3128
2018-11-03,3041
2018-11-04,3763
2018-11-05,2492
2018-11-06,2719
2018-11-07,2699
2018-11-08,3329
2018-11-09,2459
2018-11-10,2613
2018-11-11,2745
2018-11-12,2503
2018-11-13,2156
2018-11-14,2447
2018-11-15,2858
2018-11-16,1780
2018-11-17,2333
2018-11-18,1891
2018-11-19,2814
2018-11-20,1432
2018-11-21,1892
2018-11-22,2339
2018-11-23,2914
2018-11-24,2080
2018-11-25,1818
2018-11-26,3020
2018-11-27,1341
2018-11-28,953
2018-11-29,2261
2018-11-30,1779
2018-12-01,1511
2018-12-02,2369
2018-12-03,2130
2018-12-04,1722
2018-12-05,1361
2018-12-06,2436
2018-12-07,2325
2018-12-08,1952
2018-12-09,2927
2018-12-10,1473
2018-12-11,1252
2018-12-12,1676
2018-12-13,2008
2018-12-14,2162
2018-12-15,1932
2018-12-16,2241
2018-12-17,1454
2018-12-18,2817
2018-12-19,2071
2018-12-20,2689
2018-12-21,2322
2018-12-22,2400
2018-12-23,2478
2018-12-24,2440
2018-12-25,2562
2018-12-26,2931
2018-12-27,2391
2018-12-28,2675
2018-12-29,2305
2018-12-30,3099
2018-12-31,2072
2019-01-01,3342
2019-01-02,2453
2019-01-03,1791
2019-01-04,2604
2019-01-05,2234
2019-01-06,3030
2019-01-07,2319
2019-01-08,2458
2019-01-09,1773
2019-01-10,2529
2019-01-11,1580
2019-01-12,2038
2019-01-13,3248
2019-01-14,3299
2019-01-15,3157
2019-01-16,2499
2019-01-17,2997
2019-01-18,3058
2019-01-19,2518
2019-01-20,3887
2019-01-21,3612
2019-01-22,3101
2019-01-23,3262
2019-01-24,3390
2019-01-25,2301
2019-01-26,3235
2019-01-27,3053
2019-01-28,2928
2019-01-29,3323
2019-01-30,4396
2019-01-31,3850
2019-02-01,3276
2019-02-02,3879
2019-02-03,4323
2019-02-04,4115
2019-02-05,3711
2019-02-06,3386
2019-02-07,4085
2019-02-08,3958
2019-02-09,4233
2019-02-10,4126
2019-02-11,4355
2019-02-12,3584
2019-02-13,4529
2019-02-14,3988
2019-02-15,4943
2019-02-16,3577
2019-02-17,4803
2019-02-18,4047
2019-02-19,3634
2019-02-20,3728
2019-02-21,3818
2019-02-22,4198
2019-02-23,4253
2019-02-24,3709
2019-02-25,3986
2019-02-26,5071
2019-02-27,4863
2019-02-28,4216
2019-03-01,4013
2019-03-02,4050
2019-03-03,4291
2019-03-04,3465
2019-03-05,3839
2019-03-06,3123
2019-03-07,4145
2019-03-08,4256
2019-03-09,3676
2019-03-10,4689
2019-03-11,3272
2019-03-12,3134
2019-03-13,3958
2019-03-14,4349
2019-03-15,4645
2019-03-16,3550
2019-03-17,4294
2019-03-18,3710
2019-03-19,3616
2019-03-20,4116
2019-03-21,3972
2019-03-22,2828
2019-03-23,4324
2019-03-24,4244
2019-03-25,3209
2019-03-26,3686
2019-03-27,3701
2019-03-28,3550
2019-03-29,3110
2019-03-30,3013
2019-03-31,3300
2019-04-01,3863
2019-04-02,3511
2019-04-03,3016
2019-04-04,3550
2019-04-05,1702
2019-04-06,3662
2019-04-07,2180
2019-04-08,2830
2019-04-09,2413
2019-04-10,2287
2019-04-11,3477
2019-04-12,2624
2019-04-13,2994
2019-04-14,2759
2019-04-15,2984
2019-04-16,2747
2019-04-17,2031
2019-04-18,3134
2019-04-19,2354
2019-04-20,1787
2019-04-21,2317
2019-04-22,3248
2019-04-23,2890
2019-04-24,2259
2019-04-25,2227
2019-04-26,2211
2019-04-27,3381
2019-04-28,2505
2019-04-29,2501
2019-04-30,2775
2019-05-01,2354
2019-05-02,2081
2019-05-03,2089
2019-05-04,2130
2019-05-05,2127
2019-05-06,2490
2019-05-07,2134
2019-05-08,2457
2019-05-09,2035
2019-05-10,2101
2019-05-11,1050
2019-05-12,2496
2019-05-13,2201
2019-05-14,2519
2019-05-15,565
2019-05-16,3051
2019-05-17,1933
2019-05-18,2555
2019-05-19,1480
2019-05-20,2306
2019-05-21,1475
2019-05-22,1693
2019-05-23,2967
2019-05-24,1921
2019-05-25,2133
2019-05-26,2468
2019-05-27,2291
2019-05-28,2131
2019-05-29,2251
2019-05-30,3285
2019-05-31,2071
2019-06-01,2217
2019-06-02,2661
2019-06-03,2708
2019-06-04,2770
2019-06-05,2519
2019-06-06,1651
2019-06-07,3064
2019-06-08,1700
2019-06-09,2452
2019-06-10,1951
2019-06-11,2325
2019-06-12,2551
2019-06-13,2578
2019-06-14,2660
2019-06-15,3289
2019-06-16,2742
2019-06-17,2427
2019-06-18,3066
2019-06-19,3214
2019-06-20,2041
2019-06-21,2989
2019-06-22,3078
2019-06-23,2616
2019-06-24,3490
2019-06-25,2765
2019-06-26,2941
2019-06-27,2829
2019-06-28,2962
2019-06-29,2445
2019-06-30,2311
2019-07-01,3867
2019-07-02,2684
2019-07-03,2650
2019-07-04,2107
2019-07-05,2902
2019-07-06,2597
2019-07-07,4116
2019-07-08,3836
2019-07-09,3023
2019-07-10,4529
2019-07-11,3929
2019-07-12,3309
2019-07-13,2256
2019-07-14,4684
2019-07-15,2875
2019-07-16,2778
2019-07-17,4143
2019-07-18,4880
2019-07-19,4381
2019-07-20,3998
2019-07-21,4040
2019-07-22,4194
2019-07-23,4171
2019-07-24,3955
2019-07-25,3888
2019-07-26,3825
2019-07-27,3499
2019-07-28,3753
2019-07-29,3063
2019-07-30,3876
2019-07-31,3445
2019-08-01,3400
2019-08-02,4052
2019-08-03,4668
2019-08-04,4439
2019-08-05,3202
2019-08-06,3498
2019-08-07,4467
2019-08-08,3507
2019-08-09,3887
2019-08-10,4274
2019-08-11,3513
2019-08-12,4046
2019-08-13,3321
2019-08-14,3681
2019-08-15,4134
2019-08-16,3168
2019-08-17,4174
2019-08-18,3932
2019-08-19,4205
2019-08-20,4025
2019-08-21,4579
2019-08-22,3942
2019-08-23,3646
2019-08-24,3902
2019-08-25,4091
2019-08-26,3821
2019-08-27,3793
2019-08-28,3397
2019-08-29,3391
2019-08-30,2994
2019-08-31,4542
2019-09-01,3016
2019-09-02,3262
2019-09-03,3218
2019-09-04,3993
2019-09-05,3365
2019-09-06,4103
2019-09-07,3109
2019-09-08,3550
2019-09-09,2958
2019-09-10,4412
2019-09-11,2710
2019-09-12,3422
2019-09-13,3546
2019-09-14,3399
2019-09-15,3062
2019-09-16,3051
2019-09-17,3100
2019-09-18,2966
2019-09-19,3483
2019-09-20,4068
2019-09-21,2646
2019-09-22,2202
2019-09-23,2804
2019-09-24,4100
2019-09-25,2371
2019-09-26,3555
2019-09-27,3538
2019-09-28,2386
2019-09-29,2911
2019-09-30,3406
2019-10-01,2367
2019-10-02,2421
2019-10-03,2199
2019-10-04,1949
2019-10-05,2100
2019-10-06,1782
2019-10-07,2381
2019-10-08,1950
2019-10-09,2423
2019-10-10,1501
2019-10-11,2419
2019-10-12,2645
2019-10-13,1208
2019-10-14,2369
2019-10-15,2774
2019-10-16,1535
2019-10-17,2957
2019-10-18,2313
2019-10-19,1735
2019-10-20,2044
2019-10-21,2337
2019-10-22,2084
2019-10-23,2305
2019-10-24,1565
2019-10-25,2102
2019-10-26,1304
2019-10-27,1950
2019-10-28,1550
2019-10-29,1632
2019-10-30,2618
2019-10-31,2546
2019-11-01,2307
2019-11-02,1460
2019-11-03,1853
2019-11-04,2625
2019-11-05,2097
2019-11-06,3195
2019-11-07,2243
2019-11-08,2155
2019-11-09,1918
2019-11-10,2154
2019-11-11,2028
2019-11-12,2476
2019-11-13,2619
2019-11-14,1768
2019-11-15,1517
2019-11-16,1287
2019-11-17,2483
2019-11-18,1702
2019-11-19,1204
2019-11-20,2502
2019-11-21,3582
2019-11-22,2362
2019-11-23,2814
2019-11-24,2467
2019-11-25,2408
2019-11-26,2950
2019-11-27,2379
2019-11-28,2692
2019-11-29,2754
2019-11-30,2294
2019-12-01,3160
2019-12-02,2613
2019-12-03,2359
